endbulb_class,hsr_num,msr_num,lsr_num,target_spont_rate,hsr_weight,msr_weight,lsr_weight
tonic,10,0,0,7.5,1.01001739502e-08,0,0
tonic,10,0,0,20.0,1.26468658447e-08,0,0
tonic,10,0,0,50.0,1.47853851318e-08,0,0
yang2009,10,0,0,7.5,2.32921600342e-08,0,0
yang2009,10,0,0,20.0,2.86212921143e-08,0,0
yang2009,10,0,0,50.0,3.63018035889e-08,0,0
yang2009mean,10,0,0,7.5,3.31478118896e-08,0,0
yang2009mean,10,0,0,20.0,4.02370452881e-08,0,0
yang2009mean,10,0,0,50.0,5.0231552124e-08,0,0
10%-depressing,10,0,0,7.5,1.04236602783e-08,0,0
10%-depressing,10,0,0,20.0,1.30184173584e-08,0,0
10%-depressing,10,0,0,50.0,1.52477264404e-08,0,0
20%-depressing,10,0,0,7.5,1.08409881592e-08,0,0
20%-depressing,10,0,0,20.0,1.34761810303e-08,0,0
20%-depressing,10,0,0,50.0,1.58153533936e-08,0,0
30%-depressing,10,0,0,7.5,1.14269256592e-08,0,0
30%-depressing,10,0,0,20.0,1.41185760498e-08,0,0
30%-depressing,10,0,0,50.0,1.66454315186e-08,0,0
40%-depressing,10,0,0,7.5,1.21677398682e-08,0,0
40%-depressing,10,0,0,20.0,1.50592803955e-08,0,0
40%-depressing,10,0,0,50.0,1.77936553955e-08,0,0
50%-depressing,10,0,0,7.5,1.34395599365e-08,0,0
50%-depressing,10,0,0,20.0,1.65561676025e-08,0,0
50%-depressing,10,0,0,50.0,1.969871521e-08,0,0
60%-depressing,10,0,0,7.5,1.58313751221e-08,0,0
60%-depressing,10,0,0,20.0,1.9104385376e-08,0,0
60%-depressing,10,0,0,50.0,2.30632781982e-08,0,0
70%-depressing,10,0,0,7.5,2.02564239502e-08,0,0
70%-depressing,10,0,0,20.0,2.46257781982e-08,0,0
70%-depressing,10,0,0,50.0,3.06728363037e-08,0,0
tonic,15,0,0,7.5,8.78257751465e-09,0,0
tonic,15,0,0,20.0,1.02535247803e-08,0,0
tonic,15,0,0,50.0,1.30069732666e-08,0,0
yang2009,15,0,0,7.5,2.06981658936e-08,0,0
yang2009,15,0,0,20.0,2.47020721436e-08,0,0
yang2009,15,0,0,50.0,3.01761627197e-08,0,0
yang2009mean,15,0,0,7.5,2.89546966553e-08,0,0
